aid,author,author_bio,has_user_account,user_account_id
1,Audrey Niffenegger,Author of The Time Traveler's Wife,0,NULL
2,Agatha Christie,Famous British Author,0,NULL
3,Andy Weir,Author of the famous movie The Martian,0,NULL
4,Michelle Obama,Former First Lady of the United States ,0,NULL
5,John Green,New York Times bestselling author,0,NULL
6,George Orwell,Famous English novelist,0,NULL
7,Anne Frank,One of the most discussed Jewish victims of the Holocaust,0,NULL
8,Bram Stoker,"Irish author, best known today for his 1897 Gothic horror novel Dracula",0,NULL
9,Dan Brown,Author of many #1 bestselling novels,0,NULL
10,Suzanne Collins,American tevelision writer,0,NULL
11,Nicholas Sparks,"Romance, Love, <3",0,NULL
12,Arthur Conan Doyle,British writer and physician,0,NULL
13,Isaac Asimov,"Considered one of the ""Big Three"" science fiction writers of his time ",0,NULL
14,Tara Westover,"American memoirist, essayist, and historian. ",0,NULL
15,Stephen King,Author of The Shining,0,NULL
16,Jon Krakauer,American writier and mountaineer,0,NULL
17,William Peter Blatty,Won the Academy Award for the screenplay of the film adaptation for The Exorcist,0,NULL
